rank,run_id,model,feature_set,train_period,valid_period,test_period,data_start,data_end,test_wrmse,test_wmae,test_diracc
55,20260115_222938,LSTM,neural_40,2005-12-31 - 2020-12-31,2021-01-01 - 2023-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0221520625054836,0.0163540374487638,0.4843110504774898
56,20260115_222938,Hybrid-Seq,neural_40,2005-12-31 - 2020-12-31,2021-01-01 - 2023-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0223251618444919,0.0165299735963344,0.4433833560709413
57,20260115_222938,XGBoost,xgb_selected,2005-12-31 - 2020-12-31,2021-01-01 - 2023-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0225840498574603,0.0165666308858195,0.5595716198125836
58,20260115_222938,BASELINE_ZERO,baseline,2005-12-31 - 2020-12-31,2021-01-01 - 2023-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0226493849406867,0.0166731346992691,0.002677376171352
59,20260115_213310,GRU,neural_40,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0230621863156557,0.016585599631071,0.491701244813278
60,20260115_205014,GRU,neural_40,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0230622123926877,0.0165856126695871,0.491701244813278
61,20260115_222938,LightGBM,xgb_selected,2005-12-31 - 2020-12-31,2021-01-01 - 2023-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.023254163921338,0.0170349703318067,0.4712182061579651
62,20260115_222938,LSTM,neural_80,2005-12-31 - 2020-12-31,2021-01-01 - 2023-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.024404440075159,0.0180801581591367,0.5566166439290586
63,20260118_111753,BASELINE_NAIVE,baseline,2023-12-31 - 2025-05-20,2025-05-21 - 2025-09-10,2025-09-11 - latest,2023-11-20,2026-01-15,0.0253130451770571,0.0200684330457329,0.4814814814814814
64,20260118_092009,BASELINE_NAIVE,baseline,2023-12-31 - 2025-05-20,2025-05-21 - 2025-09-10,2025-09-11 - latest,2023-11-20,2026-01-15,0.0253130451770571,0.0200684330457329,0.4814814814814814
65,20260115_211034,LSTM,neural_40,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0268621239811182,0.020378528162837,0.5518672199170125
66,20260115_211034,BASELINE_NAIVE,baseline,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0277918662749599,0.0200514722387043,0.5141129032258065
67,20260115_213310,BASELINE_NAIVE,baseline,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0277918702368074,0.0200514867836747,0.5141129032258065
